,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,time,rel_error,matrix budget,total budget,revealed
727,7,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,506.84929435141385,0.0010319108525046,35932,87722,0.01096525
728,8,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,511.424988463521,0.0010466236258293,35932,87718,0.01096475
729,9,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,505.88036574050784,0.0019497649838469,35932,87724,0.0109655
740,0,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,606.8842282500118,0.0003656410411338,26949,65803,0.008225375
741,1,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,575.008262341842,0.0015008467662063,26949,65828,0.0082285
742,2,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,570.2053567282856,0.0029378902843412,26949,65815,0.008226875
743,3,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,571.8592206966132,0.0002291563066795,26949,65816,0.008227
744,4,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,565.7464184574783,0.001879110894052,26949,65836,0.0082295
745,5,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,582.2512239702046,0.0002257553322237,26949,65825,0.008228125
746,6,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,573.1999492030591,0.0001488589992836,26949,65820,0.0082275
747,7,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,574.2276650276035,0.0001992395091052,26949,65812,0.0082265
748,8,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,561.5104983393103,0.0001274803393982,26949,65825,0.008228125
749,9,200,15,40.0,sandwich,2,2.0,0.66,4.0,0.32,614.7421483136714,0.003344377261335,26949,65820,0.0082275
800,0,200,5,60.0,sandwich,2,2.0,0.66,4.0,0.32,581.8275965669891,5.137495328130934e-05,8983,21959,0.002744875
801,1,200,5,60.0,sandwich,2,2.0,0.66,4.0,0.32,579.9388748229248,0.0001025720240287,8983,21958,0.00274475
802,2,200,5,60.0,sandwich,2,2.0,0.66,4.0,0.32,578.8861836829456,0.0001309096292186,8983,21953,0.002744125
803,3,200,5,60.0,sandwich,2,2.0,0.66,4.0,0.32,576.802404013928,9.102554183357608e-05,8983,21956,0.0027445
804,4,200,5,60.0,sandwich,2,2.0,0.66,4.0,0.32,577.4056733900215,5.116807198119245e-05,8983,21951,0.002743875
805,5,200,5,60.0,sandwich,2,2.0,0.66,4.0,0.32,578.3206217520637,0.0009601536041263,8983,21955,0.002744375
